,cell_cycle
NB_01_S3-G2_1_3873,G2-M
NB_02_S3-G3_1_3874,G2-M
NB_03_S3-G4_1_3875,G2-M
NB_04_S3-G5_1_3876,G2-M
NB_05_S3-G6_1_3877,G2-M
NB_06_S3-G7_1_3878,G2-M
NB_10_S3-G11_1_3882,G2-M
NB_11_S3-G12_1_3883,G2-M
NB_15_S3-H5_1_3888,G2-M
NB_17_S3-H7_1_3890,G2-M
NB_18_S3-H8_1_3891,G2-M
NB_21_S3-H11_1_3894,G2-M
NB_22_S3-H12_1_3895,G2-M
NB_01_S5-B2_1_3909,G2-M
NB_03_S5-B4_1_3911,G2-M
NB_05_S5-B6_1_3913,G2-M
NB_06_S5-B7_1_3914,G2-M
NB_07_S5-B8_1_3915,G2-M
NB_08_S5-B9_1_3916,G2-M
NB_09_S5-B10_1_3917,G2-M
NB_12_S5-C2_1_3921,G2-M
NB_13_S5-C3_1_3922,G2-M
NB_14_S5-C4_1_3923,G2-M
NB_15_S5-C5_1_3924,G2-M
NB_16_S5-C6_1_3925,G2-M
NB_17_S5-C7_1_3926,G2-M
NB_18_S5-C8_1_3927,G2-M
NB_19_S5-C9_1_3928,G2-M
NB_21_S5-C11_1_3930,G2-M
NB_23_S5-D2_1_3933,G2-M
NB_27_S5-D6_1_3937,G2-M
NB_28_S5-D7_1_3938,G2-M
NB_34_S5-E2_1_3945,G2-M
NB_39_S5-E7_1_3950,G2-M
NB_40_S5-E8_1_3951,G2-M
NB_41_S5-E9_1_3952,G2-M
NB_42_S5-E10_1_3953,G2-M
NB_45_S5-F2_1_3957,G2-M
NB_51_S5-F8_1_3963,G2-M
NB_52_S5-F9_1_3964,G2-M
NB_54_S5-F11_1_3966,G2-M
NB_59_S5-G5_1_3972,G2-M
NB_60_S5-G6_1_3973,G2-M
NB_61_S5-G7_1_3974,G2-M
NB_63_S5-G9_1_3976,G2-M
TB_01_S3-B2_1_4005,G1-S
TB_02_S3-B3_1_4006,G1-S
TB_03_S3-B4_1_4007,G1-S
TB_05_S3-B6_1_4009,G1-S
TB_06_S3-B7_1_4010,G1-S
TB_08_S3-B9_1_4012,G1-S
TB_10_S3-B11_1_4014,G1-S
TB_13_S3-C3_1_4018,G1-S
TB_17_S3-C7_1_4022,G1-S
TB_19_S3-C9_1_4024,G1-S
TB_20_S3-C10_1_4025,G1-S
TB_23_S3-D2_1_4029,G1-S
TB_25_S3-D4_1_4031,G1-S
TB_26_S3-D5_1_4032,G1-S
TB_29_S3-D8_1_4035,G1-S
TB_33_S3-D12_1_4039,G1-S
TB_34_S3-E2_1_4041,G1-S
TB_35_S3-E3_1_4042,G1-S
TB_38_S3-E6_1_4045,G1-S
TB_39_S3-E7_1_4046,G1-S
TB_41_S3-E9_1_4048,G1-S
TB_42_S3-E10_1_4049,G1-S
TB_43_S3-E11_1_4050,G1-S
TB_44_S3-E12_1_4051,G1-S
TB_48_S3-F5_1_4056,G1-S
TB_49_S3-F6_1_4057,G1-S
TB_51_S3-F8_1_4059,G1-S
TB_53_S3-F10_1_4061,G1-S
TB_55_S3-F12_1_4063,G1-S
TB_56_S3-G2_1_4065,G1-S
TB_57_S3-G3_1_4066,G1-S
TB_58_S3-G4_1_4067,G1-S
TB_62_S3-G8_1_4071,G1-S
TB_63_S3-G9_1_4072,G1-S
TB_64_S3-G10_1_4073,G1-S
TB_65_S3-G11_1_4074,G1-S
TB_67_S3-H2_1_4077,G1-S
TB_70_S3-H5_1_4080,G1-S
TB_73_S3-H8_1_4083,G1-S
TB_76_S3-H11_1_4086,G1-S
TB_77_S3-H12_1_4087,G1-S
G2_02_S4-B2_1_4607,G2
G2_03_S4-B3_1_4608,G2
G2_05_S4-B5_1_4610,G2
G2_09_S4-B9_1_4614,G2
G2_14_S4-C2_1_4619,G2
G2_16_S4-C4_1_4621,G2
G2_18_S4-C6_1_4623,G2
G2_21_S4-C9_1_4626,G2
G2_22_S4-C10_1_4627,G2
G2_23_S4-C11_1_4628,G2
G2_26_S4-D2_1_4631,G2
G2_27_S4-D3_1_4632,G2
G2_29_S4-D5_1_4634,G2
G2_30_S4-D6_1_4635,G2
G2_31_S4-D7_1_4636,G2
G2_35_S4-D11_1_4640,G2
G2_39_S4-E3_1_4644,G2
G2_40_S4-E4_1_4645,G2
G2_43_S4-E7_1_4648,G2
G2_46_S4-E10_1_4651,G2
G2_50_S4-F2_1_4655,G2
G2_52_S4-F4_1_4657,G2
G2_54_S4-F6_1_4659,G2
G2_55_S4-F7_1_4660,G2
G2_57_S4-F9_1_4662,G2
G2_75_S1-B3_1_4704,G2
G2_76_S1-B4_1_4705,G2
G2_79_S1-B7_1_4708,G2
G2_86_S1-C2_1_4715,G2
G2_90_S1-C6_1_4719,G2
G2_91_S1-C7_1_4720,G2
G2_92_S1-C8_1_4721,G2
G2_93_S1-C9_1_4722,G2
G2_95_S1-C11_1_4724,G2
G2_98_S1-D2_1_4727,G2
G2_101_S1-D5_1_4730,G2
G2_102_S1-D6_1_4731,G2
G2_103_S1-D7_1_4732,G2
G2_107_S1-D11_1_4736,G2
G2_110_S1-E2_1_4739,G2
G2_112_S1-E4_1_4741,G2
G2_116_S1-E8_1_4745,G2
G2_118_S1-E10_1_4747,G2
G2_122_S1-F2_1_4751,G2
G2_124_S1-F4_1_4753,G2
G2_125_S1-F5_1_4754,G2
G2_134_S1-G2_1_4763,G2
G2_135_S1-G3_1_4764,G2
G2_136_S1-G4_1_4765,G2
G2_138_S1-G6_1_4767,G2
G2_139_S1-G7_1_4768,G2
G2_142_S1-G10_1_4771,G2
G1_03_S4-B3_1_4799,G1
G1_04_S4-B4_1_4800,G1
G1_05_S4-B5_1_4801,G1
G1_06_S4-B6_1_4802,G1
G1_07_S4-B7_1_4803,G1
G1_08_S4-B8_1_4804,G1
G1_09_S4-B9_1_4805,G1
G1_12_S4-B12_1_4808,G1
G1_15_S4-C3_1_4811,G1
G1_16_S4-C4_1_4812,G1
G1_17_S4-C5_1_4813,G1
G1_19_S4-C7_1_4815,G1
G1_21_S4-C9_1_4817,G1
G1_23_S4-C11_1_4819,G1
G1_24_S4-C12_1_4820,G1
G1_26_S4-D2_1_4822,G1
G1_27_S4-D3_1_4823,G1
G1_28_S4-D4_1_4824,G1
G1_29_S4-D5_1_4825,G1
G1_30_S4-D6_1_4826,G1
G1_32_S4-D8_1_4828,G1
G1_33_S4-D9_1_4829,G1
G1_34_S4-D10_1_4830,G1
G1_35_S4-D11_1_4831,G1
G1_36_S4-D12_1_4832,G1
G1_38_S4-E2_1_4834,G1
G1_39_S4-E3_1_4835,G1
G1_40_S4-E4_1_4836,G1
G1_41_S4-E5_1_4837,G1
G1_42_S4-E6_1_4838,G1
G1_43_S4-E7_1_4839,G1
G1_44_S4-E8_1_4840,G1
G1_46_S4-E10_1_4842,G1
G1_47_S4-E11_1_4843,G1
G1_48_S4-E12_1_4844,G1
G1_53_S4-F5_1_4849,G1
G1_54_S4-F6_1_4850,G1
G1_55_S4-F7_1_4851,G1
G1_57_S4-F9_1_4853,G1
G1_60_S4-F12_1_4856,G1
G1_62_S4-G2_1_4858,G1
G1_64_S4-G4_1_4860,G1
G1_65_S4-G5_1_4861,G1
G1_68_S4-G8_1_4864,G1
G1_70_S4-G10_1_4866,G1
G1_72_S4-G12_1_4868,G1
G1_76_S4-H4_1_4872,G1
G1_78_S4-H6_1_4874,G1
G1_80_S4-H8_1_4876,G1
G1_81_S4-H9_1_4877,G1
G1_82_S4-H10_1_4878,G1
G1_83_S4-H11_1_4879,G1
G1_86_S5-B2_1_4894,G1
G1_87_S5-B3_1_4895,G1
G1_88_S5-B4_1_4896,G1
G1_90_S5-B6_1_4898,G1
G1_92_S5-B8_1_4900,G1
G1_93_S5-B9_1_4901,G1
G1_94_S5-B10_1_4902,G1
G1_95_S5-B11_1_4903,G1
G1_96_S5-B12_1_4904,G1
G1_98_S5-C2_1_4906,G1
G1_100_S5-C4_1_4908,G1
G1_102_S5-C6_1_4910,G1
G1_103_S5-C7_1_4911,G1
G1_104_S5-C8_1_4912,G1
G1_105_S5-C9_1_4913,G1
G1_106_S5-C10_1_4914,G1
G1_107_S5-C11_1_4915,G1
G1_108_S5-C12_1_4916,G1
G1_113_S5-D5_1_4921,G1
G1_114_S5-D6_1_4922,G1
G1_116_S5-D8_1_4924,G1
G1_118_S5-D10_1_4926,G1
G1_119_S5-D11_1_4927,G1
G1_131_S5-E11_1_4939,G1
G1_142_S5-F10_1_4950,G1
G1_143_S5-F11_1_4951,G1
G1_147_S5-G3_1_4955,G1
G1_151_S5-G7_1_4959,G1
G1_153_S5-G9_1_4961,G1
G1_154_S5-G10_1_4962,G1
G1_155_S5-G11_1_4963,G1
G1_158_S5-H2_1_4966,G1
G1_161_S5-H5_1_4969,G1
G1_163_S5-H7_1_4971,G1
G1_164_S5-H8_1_4972,G1
